Server running at http://0.0.0.0:8080/
You can access it at:
  - http://localhost:8080
  - http://127.0.0.1:8080
  - http://0.0.0.0:8080
Request: GET /
Request: GET /assets/index-Cn1gfy28.js
Request: GET /assets/vendor-3d-ClZu8i9j.js
Request: GET /assets/vendor-react-Bl7klfsD.js
Request: GET /assets/vendor-supabase-BoGjgNI8.js
Request: GET /assets/index-BJymg7a5.css
Request: GET /assets/vendor-ui-C26054k0.js
Request: GET /assets/features-ai-BdC_E3Ar.js
Request: GET /assets/features-cms-Bhaptt3P.js
Request: GET /assets/features-network-Bd3Ydkr9.js
Request: GET /vite.svg
Request: GET /
Request: GET /assets/index-Cn1gfy28.js
Request: GET /assets/vendor-3d-ClZu8i9j.js
Request: GET /assets/vendor-react-Bl7klfsD.js
Request: GET /assets/vendor-supabase-BoGjgNI8.js
Request: GET /assets/vendor-ui-C26054k0.js
Request: GET /assets/index-BJymg7a5.css
Request: GET /assets/features-ai-BdC_E3Ar.js
Request: GET /assets/features-cms-Bhaptt3P.js
Request: GET /assets/features-network-Bd3Ydkr9.js
Request: GET /vite.svg
Request: GET /
Request: GET /assets/index-Cn1gfy28.js
Request: GET /assets/index-BJymg7a5.css
Request: GET /assets/vendor-3d-ClZu8i9j.js
Request: GET /assets/vendor-react-Bl7klfsD.js
Request: GET /assets/vendor-supabase-BoGjgNI8.js
Request: GET /assets/vendor-ui-C26054k0.js
Request: GET /assets/features-ai-BdC_E3Ar.js
Request: GET /assets/features-cms-Bhaptt3P.js
Request: GET /assets/features-network-Bd3Ydkr9.js
Request: GET /vite.svg
Request: GET /
Request: GET /assets/index-Cn1gfy28.js
Request: GET /assets/vendor-3d-ClZu8i9j.js
Request: GET /assets/vendor-react-Bl7klfsD.js
Request: GET /assets/vendor-supabase-BoGjgNI8.js
Request: GET /assets/vendor-ui-C26054k0.js
Request: GET /assets/features-ai-BdC_E3Ar.js
Request: GET /assets/index-BJymg7a5.css
Request: GET /assets/features-cms-Bhaptt3P.js
Request: GET /assets/features-network-Bd3Ydkr9.js
Request: GET /vite.svg
Request: GET /
Request: GET /assets/index-Cn1gfy28.js
Request: GET /assets/vendor-3d-ClZu8i9j.js
Request: GET /assets/vendor-react-Bl7klfsD.js
Request: GET /assets/vendor-supabase-BoGjgNI8.js
Request: GET /assets/index-BJymg7a5.css
Request: GET /assets/vendor-ui-C26054k0.js
Request: GET /assets/features-ai-BdC_E3Ar.js
Request: GET /assets/features-cms-Bhaptt3P.js
Request: GET /assets/features-network-Bd3Ydkr9.js
Request: GET /vite.svg
